Word,Frequency,Percentage
друга,84,0.04%
той,84,0.04%
Ежели,84,0.04%
всю,84,0.04%
голосом,83,0.03%
Павловна,83,0.03%
комнате,83,0.03%
pas,83,0.03%
кого,82,0.03%
дверь,82,0.03%
первый,82,0.03%
чувствовал,82,0.03%
сидел,82,0.03%
одной,82,0.03%
Москве,81,0.03%
сделал,81,0.03%
прямо,81,0.03%
государь,81,0.03%
Они,81,0.03%
дела,81,0.03%
против,81,0.03%
собой,81,0.03%
одна,81,0.03%
проговорил,81,0.03%
Денисова,80,0.03%
те,80,0.03%
несмотря,80,0.03%
сына,79,0.03%
своими,79,0.03%
закричал,79,0.03%
княгиня,78,0.03%
своему,78,0.03%
С,78,0.03%
тотчас,78,0.03%
лицом,77,0.03%
почти,77,0.03%
давно,76,0.03%
пошел,76,0.03%
кроме,76,0.03%
Граф,75,0.03%
времени,75,0.03%
делать,75,0.03%
Ростовых,75,0.03%
моя,75,0.03%
какой,75,0.03%
весело,74,0.03%
старый,74,0.03%
Бог,74,0.03%
вошел,74,0.03%
таким,74,0.03%
Андрею,74,0.03%
глаз,73,0.03%
Дмитриевна,73,0.03%
остановился,73,0.03%
можно,73,0.03%
un,72,0.03%
Багратион,72,0.03%
Наташи,72,0.03%
люблю,72,0.03%
выражение,72,0.03%
знаете,72,0.03%
взял,72,0.03%
хотя,71,0.03%
Ростову,71,0.03%
Болконский,71,0.03%
генерал,71,0.03%
думала,71,0.03%
nous,71,0.03%
руками,71,0.03%
сейчас,70,0.03%
знает,70,0.03%
ехать,70,0.03%
княжны,70,0.03%
ко,70,0.03%
поехал,70,0.03%
ce,70,0.03%
лучше,69,0.03%
Наташе,69,0.03%
сын,69,0.03%
милый,69,0.03%
молодой,69,0.03%
нам,69,0.03%
pour,69,0.03%
три,68,0.03%
двух,68,0.03%
стали,68,0.03%
быстро,68,0.03%
Бориса,68,0.03%
никто,67,0.03%
голоса,67,0.03%
другие,67,0.03%
Наташу,67,0.03%
подле,67,0.03%
отец,67,0.03%
ясно,67,0.03%
улыбнулся,66,0.03%
других,66,0.03%
гостиной,66,0.03%
est,66,0.03%
куда,66,0.03%
армии,66,0.03%
qui,65,0.03%
мимо,65,0.03%
Долохова,65,0.03%
обращаясь,65,0.03%
увидал,65,0.03%
доме,65,0.03%
войска,64,0.03%
минуты,64,0.03%
нынче,64,0.03%
слишком,63,0.03%
слово,63,0.03%
лошади,63,0.03%
Только,63,0.03%
Андреич,63,0.03%
стояли,62,0.03%
знать,62,0.03%
ma,62,0.03%
молча,62,0.03%
des,62,0.03%
крикнул,62,0.03%
весь,62,0.03%
Мне,62,0.03%
место,61,0.03%
головой,61,0.03%
говорит,61,0.03%
Его,61,0.03%
должно,61,0.03%
Берг,61,0.03%
стороны,60,0.03%
любви,60,0.03%
впереди,60,0.03%
видно,60,0.03%
прибавил,60,0.03%
стала,59,0.02%
буду,59,0.02%
думаю,59,0.02%
дня,59,0.02%
французов,58,0.02%
Марьи,58,0.02%
выражением,58,0.02%
пор,57,0.02%
мать,57,0.02%
ноги,57,0.02%
около,57,0.02%
матери,57,0.02%
тяжело,57,0.02%
Анатоля,57,0.02%
вся,57,0.02%
видом,57,0.02%
часто,57,0.02%
каждый,56,0.02%
Кутузова,56,0.02%
Теперь,56,0.02%
Ему,56,0.02%
После,56,0.02%
та,56,0.02%
указывая,56,0.02%
У,56,0.02%
начал,56,0.02%
точно,55,0.02%
если,55,0.02%
кажется,55,0.02%
кричал,55,0.02%
рукой,55,0.02%
сама,55,0.02%
всей,55,0.02%
этому,55,0.02%
знала,54,0.02%
дать,54,0.02%
невольно,54,0.02%
императора,54,0.02%
гостей,54,0.02%
Бонапарте,54,0.02%
Несвицкий,54,0.02%
года,54,0.02%
говорю,54,0.02%
Ведь,53,0.02%
du,53,0.02%
таки,53,0.02%
ну,53,0.02%
Жюли,53,0.02%
en,53,0.02%
сидела,53,0.02%
старик,53,0.02%
душе,53,0.02%
посмотрел,53,0.02%
Еще,53,0.02%
тихо,53,0.02%
понял,52,0.02%
стало,52,0.02%
две,52,0.02%
такие,52,0.02%
вами,52,0.02%
Николая,52,0.02%
желая,52,0.02%
дальше,51,0.02%
могли,51,0.02%
Петербурге,51,0.02%
радостно,51,0.02%
une,51,0.02%
гостиную,51,0.02%
взгляд,51,0.02%
командир,51,0.02%
солдаты,51,0.02%
О,51,0.02%
По,51,0.02%
il,51,0.02%
оглянулся,51,0.02%
вечера,50,0.02%
смотрела,50,0.02%
которому,50,0.02%
го,50,0.02%
Наполеон,50,0.02%
сторон,50,0.02%
свете,50,0.02%
знаешь,50,0.02%
лошадей,50,0.02%
правда,50,0.02%
отвечала,50,0.02%
видела,49,0.02%
ведь,49,0.02%
платье,49,0.02%
поспешно,49,0.02%
хотелось,49,0.02%
лет,49,0.02%
вид,49,0.02%
встал,49,0.02%
наконец,49,0.02%
вышла,49,0.02%
понять,49,0.02%
понимаю,49,0.02%
вечер,49,0.02%
За,49,0.02%
вопрос,49,0.02%
брат,48,0.02%
нею,48,0.02%
ними,48,0.02%
сиятельство,48,0.02%
зная,48,0.02%
сел,48,0.02%
взглянул,48,0.02%
полк,48,0.02%
мысли,48,0.02%
смотрели,48,0.02%
Из,48,0.02%
завтра,47,0.02%
взглядом,47,0.02%
спросила,47,0.02%
слышал,47,0.02%
рад,47,0.02%
me,47,0.02%
наш,47,0.02%
государю,47,0.02%
самого,47,0.02%
шопотом,46,0.02%
увидав,46,0.02%
сердито,46,0.02%
сражения,46,0.02%
скоро,46,0.02%
середине,46,0.02%
вокруг,46,0.02%
дочери,46,0.02%
Лицо,46,0.02%
женщины,46,0.02%
собою,46,0.02%
Москву,45,0.02%
Илья,45,0.02%
заметил,45,0.02%
обеда,45,0.02%
бывает,45,0.02%
молодого,45,0.02%
старого,45,0.02%
имел,45,0.02%
положение,45,0.02%
графини,45,0.02%
plus,45,0.02%
чуть,45,0.02%
звуки,45,0.02%
глазах,45,0.02%
ожидая,45,0.02%
зачем,45,0.02%
мост,44,0.02%
деле,44,0.02%
сюда,44,0.02%
письма,44,0.02%
любовь,44,0.02%
шел,44,0.02%
Je,44,0.02%
Мы,44,0.02%
брата,44,0.02%
Марье,43,0.02%
cher,43,0.02%
говорят,43,0.02%
стола,43,0.02%
деньги,43,0.02%
спрашивал,43,0.02%
узнал,43,0.02%
думать,43,0.02%
стараясь,43,0.02%
сидели,43,0.02%
пока,43,0.02%
Потом,43,0.02%
спокойно,43,0.02%
штаб,43,0.02%
послышался,43,0.02%
То,43,0.02%
иногда,43,0.02%
каким,42,0.02%
повторил,42,0.02%
comme,42,0.02%
тысяч,42,0.02%
почему,42,0.02%
какая,42,0.02%
dans,42,0.02%
какое,42,0.02%
места,42,0.02%
скажу,42,0.02%
Графиня,42,0.02%
верно,42,0.02%
любил,42,0.02%
месте,42,0.02%
другое,42,0.02%
Через,42,0.02%
дом,42,0.02%
должны,42,0.02%
легко,41,0.02%
одну,41,0.02%
другого,41,0.02%
сторону,41,0.02%
Тушин,41,0.02%
слезы,41,0.02%
хочет,41,0.02%
князем,41,0.02%
офицера,41,0.02%
желал,41,0.02%
Анны,41,0.02%
княжне,41,0.02%
гусар,41,0.02%
слушал,41,0.02%
никого,40,0.02%
успел,40,0.02%
чувствовала,40,0.02%
мало,40,0.02%
хотела,40,0.02%
жены,40,0.02%
сколько,40,0.02%
слов,40,0.02%
ближе,40,0.02%
графу,40,0.02%
видал,40,0.02%
chere,40,0.02%
весьма,39,0.02%
дороге,39,0.02%
далеко,39,0.02%
дорогу,39,0.02%
Наташей,39,0.02%
неприятеля,39,0.02%
наши,39,0.02%
мной,39,0.02%
почувствовал,39,0.02%
большой,39,0.02%
«Что,39,0.02%
тобой,39,0.02%
самых,39,0.02%
последнее,39,0.02%
наших,39,0.02%
прошу,38,0.02%
адъютант,38,0.02%
Боже,38,0.02%
улыбнулась,38,0.02%
Сперанский,38,0.02%
начала,38,0.02%
прошел,38,0.02%
Вера,38,0.02%
cest,38,0.02%
маленькой,38,0.02%
руке,38,0.02%
tout,38,0.02%
равно,38,0.02%
оглядываясь,38,0.02%
страх,38,0.02%
Болконского,38,0.02%
Кто,38,0.02%
Багратиона,38,0.02%
всеми,38,0.02%
скорее,37,0.02%
кабинет,37,0.02%
поцеловал,37,0.02%
Несмотря,37,0.02%
оно,37,0.02%
главнокомандующего,37,0.02%
именно,37,0.02%
офицеров,37,0.02%
такого,37,0.02%
минут,37,0.02%
хотите,37,0.02%
Петербург,37,0.02%
ночь,37,0.02%
хочу,37,0.02%
жить,37,0.02%
положении,37,0.02%
Ипполит,37,0.02%
отвечая,37,0.02%
плечами,36,0.02%
Билибин,36,0.02%
мысль,36,0.02%
Разве,36,0.02%
просить,36,0.02%
просто,36,0.02%
делал,36,0.02%
близко,36,0.02%
сзади,36,0.02%
руках,36,0.02%
самый,36,0.02%
право,36,0.02%
случилось,36,0.02%
самое,36,0.02%
самой,36,0.02%
шагами,36,0.02%
хоть,36,0.02%
Бога,35,0.01%
si,35,0.01%
ногу,35,0.01%
командира,35,0.01%
коли,35,0.01%
могло,35,0.01%
остановилась,35,0.01%
утра,35,0.01%
Отчего,35,0.01%
испытывал,35,0.01%
полка,35,0.01%
смотреть,35,0.01%
вполне,35,0.01%
столу,35,0.01%
Старый,35,0.01%
должна,35,0.01%
домой,35,0.01%
дочь,35,0.01%
Богу,35,0.01%
вопросительно,35,0.01%
строго,35,0.01%
страшно,35,0.01%
столь,35,0.01%
самом,34,0.01%
орудия,34,0.01%
оба,34,0.01%
итти,34,0.01%
дядюшка,34,0.01%
уехал,34,0.01%
ехал,34,0.01%
войск,34,0.01%
милая,34,0.01%
